name,imbalance_level,loss_type,overall_acc,per_class_acc,confusion_matrix,seed
Seed 1 | Imbalance 0.5 + standard loss,0.5,standard,0.6708,[0.68  0.828 0.514 0.44  0.62  0.602 0.84  0.64  0.762 0.782],"[[340  21  26   5   6   8   9  13  42  30]
 [  6 414   5   9   1   4   7   4   8  42]
 [ 31   5 257  24  54  39  63  11   7   9]
 [  5   7  41 220  42  91  65  12   9   8]
 [ 10   2  34  31 310  39  48  18   6   2]
 [  7   3  34  83  30 301  24  13   4   1]
 [  2   2  18  22  14  17 420   2   2   1]
 [  3   4  18  29  48  59  10 320   1   8]
 [ 23  41   7  11   2   5   6   5 381  19]
 [ 11  53   3   7   9   2   3   9  12 391]]",1
Seed 1 | Imbalance 0.5 + weighted loss,0.5,weighted,0.6732,[0.584 0.812 0.688 0.492 0.536 0.428 0.836 0.726 0.9   0.73 ],"[[292   7  58   9  14   0   8  10  84  18]
 [  9 406   4   2   2   2   5   3  37  30]
 [ 12   5 344  22  33  10  44  12  12   6]
 [  6   8  60 246  31  45  57  27  13   7]
 [  4   7  69  33 268  11  68  31   9   0]
 [  6   4  68 104  21 214  35  37   7   4]
 [  3   2  42  18   4   1 418   2   6   4]
 [  8   2  39  22  25  14  13 363   5   9]
 [  9  11  10   8   3   2   1   3 450   3]
 [ 14  53   9   3   3   1   3   3  46 365]]",1
Seed 1 | Imbalance 0.2 + standard loss,0.2,standard,0.6232,[0.76  0.746 0.336 0.252 0.334 0.448 0.92  0.776 0.874 0.786],"[[380   8  10   2   1   3   8  10  59  19]
 [ 11 373   0   0   1   2  10   8  36  59]
 [ 65   8 168  14  41  25 106  39  20  14]
 [ 28   8  31 126  34  51 136  48  22  16]
 [ 27   8  38  21 167  17 138  61  18   5]
 [ 16   4  28  55  22 224  65  64  15   7]
 [  4   1   8   8   3   3 460   4   5   4]
 [ 17   3   9  13  14  17  17 388   3  19]
 [ 28  13   2   0   1   3   2   5 437   9]
 [ 21  33   2   2   1   4   3   9  32 393]]",1
Seed 1 | Imbalance 0.2 + weighted loss,0.2,weighted,0.6158,[0.686 0.666 0.456 0.22  0.45  0.664 0.788 0.646 0.764 0.818],"[[343   7  30   3   5  14   6   8  51  33]
 [ 10 333   5   4   0  12   9   2  19 106]
 [ 46   2 228  14  30  76  66   9  13  16]
 [ 19   3  40 110  32 188  65  10  15  18]
 [ 15   1  69  23 225  41  78  35   9   4]
 [ 10   2  36  34  17 332  36  15  11   7]
 [  3   1  35  12  14  31 394   0   5   5]
 [ 12   2  18  12  23  77  14 323   3  16]
 [ 43  17   2   3   1  24   4   2 382  22]
 [ 16  30   4   3   0  13   4   2  19 409]]",1
Seed 1 | Imbalance 0.1 + standard loss,0.1,standard,0.5686,[0.756 0.868 0.178 0.198 0.072 0.262 0.94  0.898 0.808 0.706],"[[378  20   5   1   0   1  10  18  51  16]
 [  6 434   0   1   0   1  11   8  13  26]
 [ 77  15  89  11   4  11 140 120  27   6]
 [ 42  12  11  99   4  31 148 121  21  11]
 [ 31  14  19  22  36   9 191 159  18   1]
 [ 22   4  14  54   2 131  87 168  11   7]
 [  4   2   0   6   1   0 470  11   6   0]
 [ 12   6   3   2   0   4  17 449   2   5]
 [ 30  36   2   1   0   1   5   9 404  12]
 [ 14  76   2   1   0   2   6  25  21 353]]",1
Seed 1 | Imbalance 0.1 + weighted loss,0.1,weighted,0.5994,[0.718 0.776 0.482 0.31  0.288 0.37  0.832 0.714 0.746 0.758],"[[359  14  19   5   1   3   8  12  43  36]
 [  4 388   3   1   2   1  15   1  15  70]
 [ 52   8 241  28  29  19  81  17  12  13]
 [ 18   8  78 155  22  59 102  22  15  21]
 [ 18   6  97  26 144  22 130  43  12   2]
 [ 14   4  79  68  10 185  65  57   7  11]
 [  5   1  28  21   3   8 416   4   7   7]
 [ 20   6  26  15  19  15  19 357   2  21]
 [ 44  28   5   4   3   4   7   5 373  27]
 [ 15  56   9   1   1   1   9   9  20 379]]",1
Seed 2 | Imbalance 1.0 + standard loss,1.0,standard,0.7002,[0.744 0.8   0.544 0.484 0.63  0.672 0.864 0.666 0.802 0.796],"[[372  11  21   9  15   5   8   5  30  24]
 [  8 400   2   5   1   4   8   0  14  58]
 [ 31   5 272  21  44  42  52   9  11  13]
 [ 10   5  32 242  28  98  57   9   6  13]
 [  7   3  28  26 315  31  55  23   7   5]
 [  3   4  17  62  24 336  26  17   3   8]
 [  2   3  15  17   9  14 432   2   2   4]
 [ 12   2  15  21  36  47  11 333   2  21]
 [ 31  25   5  11   3   5   4   1 401  14]
 [ 23  44   2   8   3   2   4   5  11 398]]",2
Seed 2 | Imbalance 1.0 + weighted loss,1.0,weighted,0.692,[0.828 0.75  0.558 0.574 0.678 0.636 0.716 0.734 0.698 0.748],"[[414   4  11  16  14   6   5   7  11  12]
 [ 24 375   6  13   4   4   9   4  11  50]
 [ 41   2 279  45  60  27  24  13   5   4]
 [ 12   0  30 287  33  93  25  15   1   4]
 [  9   2  33  38 339  21  27  28   2   1]
 [  8   1  23  98  23 318  10  17   0   2]
 [  5   0  37  44  25  27 358   2   1   1]
 [ 14   1  13  24  41  33   4 367   0   3]
 [ 74  21   8  16   4   8   1   2 349  17]
 [ 45  25   8  13   3   4   4   9  15 374]]",2
Seed 2 | Imbalance 0.5 + standard loss,0.5,standard,0.647,[0.762 0.794 0.422 0.356 0.384 0.564 0.86  0.738 0.908 0.682],"[[381   6   7   2   1   4   9   3  76  11]
 [ 17 397   1   0   1   1   4   0  49  30]
 [ 69   5 211  15  22  37  74  23  37   7]
 [ 12  10  36 178  16  95  71  20  47  15]
 [ 19   3  42  40 192  25 111  39  28   1]
 [ 11   5  25  58   8 282  51  39  18   3]
 [  6   1  11  15   2  13 430   2  18   2]
 [ 18   4  12  17  18  27  13 369  14   8]
 [ 25   9   2   2   0   3   0   2 454   3]
 [ 24  56   4   3   1   2   5   2  62 341]]",2
Seed 2 | Imbalance 0.5 + weighted loss,0.5,weighted,0.6588,[0.72  0.792 0.398 0.514 0.646 0.592 0.774 0.69  0.702 0.76 ],"[[360  15  16  10  18   6  11   6  30  28]
 [  7 396   3  15   3   3   7   2  13  51]
 [ 44   5 199  56  80  41  45  17   6   7]
 [ 10   6  25 257  41  93  42   8   8  10]
 [ 11   2  23  48 323  29  37  21   5   1]
 [  8   2  17 105  31 296  21  15   2   3]
 [  1   1  19  52  23  14 387   0   2   1]
 [  8   3  11  34  38  42  10 345   2   7]
 [ 51  36   5  18  12   7   2   1 351  17]
 [ 15  57   4  15   7   4   5   3  10 380]]",2
Seed 2 | Imbalance 0.2 + standard loss,0.2,standard,0.608,[0.804 0.832 0.252 0.398 0.188 0.398 0.912 0.724 0.772 0.8  ],"[[402  16   4   2   1   2  13   2  31  27]
 [ 10 416   0   3   0   0   5   1  12  53]
 [ 91   9 126  41   9  24 137  26  14  23]
 [ 40  14  16 199   6  42 116  29  24  14]
 [ 48   7  33  42  94  13 176  63  14  10]
 [ 22   6  17 103   5 199  85  46   7  10]
 [  5   2   3  19   1   3 456   4   4   3]
 [ 28   6   3  24   4  23  23 362   5  22]
 [ 43  24   3   6   1   2   8   3 386  24]
 [ 21  53   1   3   0   2   2   4  14 400]]",2
Seed 2 | Imbalance 0.2 + weighted loss,0.2,weighted,0.6282,[0.82  0.81  0.57  0.472 0.454 0.382 0.798 0.674 0.616 0.686],"[[410  12  36   8   1   0   6   3  11  13]
 [ 24 405  10   4   2   2   5   1  11  36]
 [ 48   7 285  37  35  17  44  14   6   7]
 [ 20   7  65 236  26  50  59  22   7   8]
 [ 17   5  96  43 227  15  60  32   4   1]
 [ 13   2  68 136  21 191  32  29   1   7]
 [  5   4  36  33  13   6 399   3   0   1]
 [ 18   3  32  31  38  26   7 337   2   6]
 [106  34  11  13   8   2   5   3 308  10]
 [ 43  64  11   7   4   1   4   9  14 343]]",2
Seed 2 | Imbalance 0.1 + standard loss,0.1,standard,0.5548,[0.798 0.834 0.046 0.162 0.172 0.228 0.866 0.872 0.802 0.768],"[[399  20   0   0   1   0   9  14  35  22]
 [ 10 417   0   0   0   0   4   5  19  45]
 [126  18  23   9  28  10 117 125  30  14]
 [ 37  16   3  81  13  30 125 120  30  45]
 [ 47  12   2  15  86   6 130 167  22  13]
 [ 25   9   4  36   3 114  65 197  25  22]
 [ 10   7   0   7   3   2 433  15   8  15]
 [ 14   4   0   3   2   5   6 436   6  24]
 [ 54  22   1   0   0   1   2   8 401  11]
 [ 19  59   1   1   1   2   2   9  22 384]]",2
Seed 2 | Imbalance 0.1 + weighted loss,0.1,weighted,0.577,[0.586 0.856 0.28  0.506 0.496 0.49  0.542 0.778 0.758 0.478],"[[293  37  24  11  22  10   9   5  72  17]
 [  4 428   2  11   3   5   3  11  14  19]
 [ 36   8 140  73 103  36  35  52  12   5]
 [ 10   5  18 253  51  91  18  40   6   8]
 [  3   5  18  74 248  35  20  84  11   2]
 [  5   5  19 114  31 245   3  76   2   0]
 [  2   4  14  97  59  25 271  25   2   1]
 [  3   4   9  33  29  25   2 389   2   4]
 [ 29  42   2  12  11   7   5   4 379   9]
 [ 13 155   2  13   8   9   5  33  23 239]]",2
